,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
391,2020,10,26,0.051125,0.06888000000000001,,0.0,0.11800000000000001,0.1424,,,,,0.0008171428571428571
392,2020,10,27,0.020721428571428575,0.05928571428571429,,0.0,0.8838571428571428,2.459142857142857,,,,,0.0032571428571428573
393,2020,10,28,0.04666666666666667,0.0687,,0.0,0.6476666666666667,0.2772857142857143,,,,,0.013714285714285715
394,2020,10,29,0.00296,0.02067142857142857,,0.0,0.14142857142857143,0.6488571428571428,,,,,0.0003328571428571429
395,2020,10,30,0.187,0.421,,0.0,0.4014285714285715,1.667142857142857,,,,,0.0019142857142857143
396,2020,10,31,0.06228571428571428,0.8688571428571429,,0.0,0.7027142857142857,5.214285714285714,,,,,0.0
397,2020,10,32,0.040928571428571425,0.15792857142857142,,0.0,2.144428571428572,6.072857142857143,,,,,0.003314285714285714
398,2020,10,33,0.036757142857142856,0.28371428571428575,,0.0,1.8185714285714287,6.577142857142858,,,,,
399,2020,10,34,0.047099999999999996,0.13871428571428573,0.0007025,0.003677142857142857,0.17514285714285713,0.4662285714285714,,,,,0.0
400,2020,10,35,0.12713333333333335,0.28500000000000003,,0.0,0.937857142857143,2.6128571428571425,,,,,0.0
401,2020,10,36,0.19158571428571428,0.6965714285714286,,0.00020999999999999998,1.3267142857142857,3.814714285714286,,,,,0.0308
402,2020,10,37,0.014662857142857144,0.05145714285714286,,0.0,,,,,,,0.0015542857142857142
403,2020,10,38,0.0,0.131,,0.0,0.8225,1.6758,,,,,0.0026714285714285716
404,2020,10,39,0.014155999999999998,0.039483333333333336,,0.0,0.17547142857142856,0.34331428571428574,,,,,0.02165
405,2020,10,40,0.0048000000000000004,0.03545714285714286,,0.0,0.14742857142857144,0.32228571428571423,,,,,0.003604285714285714
406,2020,10,41,0.06682857142857143,0.27617142857142857,,0.0004842857142857143,,,,,,,0.032414285714285715
407,2020,10,42,0.027899999999999998,0.08124285714285714,,0.0,0.16261428571428568,0.46728571428571436,,,,,0.0
408,2020,10,44,0.08664285714285715,0.4084285714285714,,0.0,1.6402857142857143,6.325714285714286,,,,,0.014142857142857143
409,2020,10,45,0.0352,0.12474285714285714,,0.0,0.1426285714285714,0.4725714285714286,,,,,0.0003957142857142857
