,year,week,statefips,month,day,spend_all,spend_aap,spend_acf,spend_aer,spend_apg,spend_durables,spend_nondurables,spend_grf,spend_gen,spend_hic,spend_hcs,spend_inpersonmisc,spend_remoteservices,spend_sgh,spend_tws,spend_retail_w_grocery,spend_retail_no_grocery,spend_all_incmiddle,spend_all_q1,spend_all_q2,spend_all_q3,spend_all_q4,provisional,date
121,2020,02,23,1.0,16.0,0.002587142857142855,-0.16377142857142854,-0.03714,-0.022114285714285715,-0.09974285714285715,-0.0026997142857142853,0.006745285714285712,-0.004012857142857145,0.07397142857142858,0.010557142857142857,0.10942714285714285,0.000527142857142857,0.0855,0.016742857142857143,0.01573,0.008604285714285712,0.018675714285714278,-0.0004949999999999999,0.015695714285714285,0.008895185714285712,-0.010385714285714286,0.006315714285714285,0,2020-01-16 00:00:00
122,2020,02,24,1.0,16.0,0.01848771428571428,0.014828571428571432,0.03898999999999999,0.0632,0.02490328571428571,0.02156428571428572,0.010132857142857143,0.013442857142857142,0.020165714285714287,0.059534285714285706,0.06064285714285715,0.006481428571428574,0.010845714285714287,-0.012364285714285713,-0.0015771428571428588,0.021752857142857147,0.025051428571428575,0.006791428571428571,-0.01617142857142857,0.0023000000000000004,0.00992285714285714,0.03011428571428571,0,2020-01-16 00:00:00
123,2020,02,25,1.0,16.0,0.02101785714285714,0.015457142857142859,0.004852857142857145,-0.02797857142857143,0.0036571428571428558,0.023473142857142856,0.03772857142857143,0.04432857142857143,0.01345285714285714,0.09244057142857143,0.14605714285714286,0.049825714285714286,-0.015872714285714285,0.0008614285714285705,0.03471428571428571,0.029804285714285717,0.018185714285714284,0.020071428571428573,-0.07497142857142858,0.021136285714285715,0.018677142857142857,0.02720571428571428,0,2020-01-16 00:00:00
124,2020,02,26,1.0,16.0,-0.017650000000000002,-0.07205714285714285,-0.06527142857142856,-0.024585714285714287,-0.0606,-2.857142857142592e-05,-0.022647142857142855,-0.009485714285714283,-0.040512857142857135,-0.013657142857142856,0.01945714285714286,-0.028531428571428572,-0.006444285714285714,-0.07447142857142856,-0.001268571428571431,-0.020994285714285715,-0.02889085714285714,-0.022267142857142857,-0.012257142857142857,-0.023843000000000003,-0.021011000000000002,-0.013417142857142858,0,2020-01-16 00:00:00
125,2020,02,27,1.0,16.0,-0.015021428571428571,-0.08420000000000001,-0.044599999999999994,-0.00045857142857142874,-0.06465714285714284,-0.03486714285714286,-0.02467857142857143,0.014628571428571432,-0.07740000000000001,-0.05882857142857142,-0.051914285714285725,-0.004569999999999999,-0.005817142857142857,-0.06859857142857143,0.018645714285714286,-0.030831428571428572,-0.05254285714285715,-0.01735,-0.011364285714285712,-0.0111144,-0.02037857142857143,-0.013454857142857142,0,2020-01-16 00:00:00
126,2020,02,28,1.0,16.0,-0.00016857142857142865,-0.010585714285714285,0.006111818571428572,0.003944857142857147,-0.01605714285714286,-0.046400000000000004,-0.028071428571428574,-0.037442857142857146,-0.030538571428571425,-0.13401428571428572,-0.1263,0.05128,0.01773285714285714,-0.11392857142857145,0.022442857142857143,-0.03477142857142857,-0.034384285714285714,-0.01315,0.012408571428571427,-0.03168571428571428,0.010817142857142857,-0.02442142857142857,0,2020-01-16 00:00:00
127,2020,02,29,1.0,16.0,0.02625571428571428,0.014825714285714288,0.13714285714285715,0.11274285714285713,0.03828571428571429,-0.003488857142857144,-0.016378,-0.006347142857142857,-0.05995542857142856,0.020887142857142858,-0.1361857142857143,0.0655142857142857,0.028248571428571432,-0.07458000000000001,-0.02342714285714286,-0.014438571428571427,-0.018988571428571428,0.02197142857142857,0.039128571428571436,0.010827142857142856,0.03202857142857142,0.05083428571428572,0,2020-01-16 00:00:00
128,2020,02,30,1.0,16.0,0.012975714285714285,0.030157142857142855,-0.0075814285714285706,-0.018312857142857138,-0.07892857142857143,0.06661428571428571,-0.04682714285714285,-0.034621428571428574,-0.15225714285714287,0.08914285714285715,-0.14228571428571427,0.038445714285714284,0.08221428571428571,0.03618571428571428,0.018547142857142856,-0.006278571428571427,0.006438571428571428,0.002348571428571429,0.03555285714285714,-0.006902857142857143,0.014907142857142857,0.06255714285714287,0,2020-01-16 00:00:00
129,2020,02,31,1.0,16.0,0.01416,-0.01809857142857143,-0.02461428571428571,0.09075714285714286,0.0010714285714285715,0.0034285714285714293,0.024031428571428565,0.017607142857142856,0.0433,-0.05620000000000001,-0.0005171428571428574,0.008228571428571427,0.02124,0.05110428571428572,0.03881428571428571,0.01637142857142857,0.016451428571428568,0.021699999999999994,-0.0037357142857142867,0.015885714285714284,0.030427142857142854,0.002532857142857143,0,2020-01-16 00:00:00
130,2020,02,32,1.0,16.0,0.009518571428571428,-0.07337142857142856,0.0012285714285714285,-0.008785714285714282,-0.04095857142857142,-0.005604142857142857,-0.009304342857142859,-0.014224285714285714,-0.0010499999999999997,-0.017081428571428574,0.013261428571428572,-0.01305714285714286,0.04795714285714286,0.03255714285714286,0.01415142857142857,-0.009011,-0.007182142857142857,0.010729714285714285,0.03842414285714286,0.007437142857142856,0.012785714285714286,-0.006195714285714286,0,2020-01-16 00:00:00
131,2020,02,33,1.0,16.0,0.0071200000000000005,-0.0166,-0.01811657142857143,0.005081428571428571,-0.01202857142857143,0.0036428571428571417,0.03623571428571428,0.03772142857142857,-0.0027085714285714295,0.07618571428571429,-0.0004708571428571449,-0.029714285714285717,0.007536571428571429,-0.040557142857142854,-0.012632857142857144,0.021814285714285713,0.0094,0.005917142857142856,,2.857142857142939e-05,0.008184714285714286,0.013482857142857142,0,2020-01-16 00:00:00
132,2020,02,34,1.0,16.0,0.017712857142857145,0.004874285714285714,0.002797142857142857,0.03256857142857143,0.001911428571428574,0.008204714285714286,0.015315714285714285,0.023605714285714285,0.00816142857142857,0.00312,0.03119714285714286,0.012088571428571431,0.012409,0.04562857142857143,0.02725714285714286,0.013722857142857143,0.007469999999999999,0.020664285714285715,-0.006824285714285714,0.0020942857142857148,0.028168571428571428,0.018328571428571427,0,2020-01-16 00:00:00
133,2020,02,35,1.0,16.0,0.003134285714285715,-0.007135714285714286,-0.004307142857142857,0.03348571428571429,-0.023918571428571428,-0.008719999999999999,-0.037899999999999996,-0.04755714285714285,-0.030181428571428574,0.05413714285714286,0.042742857142857145,-0.01833142857142857,0.06489142857142857,0.12805714285714284,-0.04240714285714286,-0.020872857142857144,-0.010232857142857144,-0.0016200000000000003,0.005997142857142858,0.013757142857142857,-0.021761857142857142,0.03163,0,2020-01-16 00:00:00
